Date,Pair,Spread
2017-01-20,TTF-HH,0.6283589403550258
2017-01-23,TTF-HH,0.6467593089622452
2017-01-24,TTF-HH,0.6153257510976495
2017-01-25,TTF-HH,0.5659411359761393
2017-01-26,TTF-HH,0.5421454897548297
2017-01-27,TTF-HH,0.5219694341032723
2017-01-30,TTF-HH,0.6151521892399183
2017-01-31,TTF-HH,0.6682981553527727
2017-02-01,TTF-HH,0.6882424954647033
2017-02-02,TTF-HH,0.6931471805599454
2017-02-03,TTF-HH,0.755326162091764
2017-02-06,TTF-HH,0.7459884565334058
2017-02-07,TTF-HH,0.6889851767930835
2017-02-08,TTF-HH,0.6431326587251718
2017-02-09,TTF-HH,0.6332883431380474
2017-02-10,TTF-HH,0.6471135958653746
2017-02-13,TTF-HH,0.6399570654615936
2017-02-14,TTF-HH,0.6364948652175648
2017-02-15,TTF-HH,0.6358077548632259
2017-02-16,TTF-HH,0.6688530519840337
2017-02-17,TTF-HH,0.6474837391844652
2017-02-21,TTF-HH,0.7282116023818384
2017-02-22,TTF-HH,0.7131994135938146
2017-02-23,TTF-HH,0.7176813418714233
2017-02-24,TTF-HH,0.6858883139209491
2017-02-27,TTF-HH,0.6316983238711849
2017-02-28,TTF-HH,0.5795012134896551
2017-03-01,TTF-HH,0.5831712108805824
2017-03-02,TTF-HH,0.5606342216724978
2017-03-03,TTF-HH,0.552872195387534
2017-03-06,TTF-HH,0.5178330720612969
2017-03-07,TTF-HH,0.5381403742098505
2017-03-08,TTF-HH,0.4954022250731147
2017-03-09,TTF-HH,0.46295971290774274
2017-03-10,TTF-HH,0.4532838448365175
2017-03-13,TTF-HH,0.4214393679185058
2017-03-14,TTF-HH,0.46278738921599283
2017-03-15,TTF-HH,0.4589141896061901
2017-03-16,TTF-HH,0.4785387757394084
2017-03-17,TTF-HH,0.4630254714083808
2017-03-20,TTF-HH,0.4188574363108608
2017-03-21,TTF-HH,0.3929940903283713
2017-03-22,TTF-HH,0.4176784964329674
2017-03-23,TTF-HH,0.4031681423730711
2017-03-24,TTF-HH,0.37331082956355677
2017-03-27,TTF-HH,0.36079488567846063
2017-03-28,TTF-HH,0.3555761492704448
2017-03-29,TTF-HH,0.363110881702277
2017-03-30,TTF-HH,0.3810388342238644
2017-03-31,TTF-HH,0.37275191070186176
2017-04-03,TTF-HH,0.40418551740253905
2017-04-04,TTF-HH,0.3617032767095698
2017-04-05,TTF-HH,0.37542037438972886
2017-04-06,TTF-HH,0.3512866917125683
2017-04-07,TTF-HH,0.3528959634518565
2017-04-10,TTF-HH,0.33951181958743004
2017-04-11,TTF-HH,0.3661851339397246
2017-04-12,TTF-HH,0.36305554859610445
2017-04-13,TTF-HH,0.3516733025452101
2017-04-18,TTF-HH,0.41401352172836225
2017-04-19,TTF-HH,0.39695173491748803
2017-04-20,TTF-HH,0.39773242829792954
2017-04-21,TTF-HH,0.43334332457984814
2017-04-24,TTF-HH,0.4327053983150937
2017-04-25,TTF-HH,0.4181999740912543
2017-04-26,TTF-HH,0.40419122258557594
2017-04-27,TTF-HH,0.37293596277371877
2017-04-28,TTF-HH,0.36983582165239093
2017-05-02,TTF-HH,0.411186840233011
2017-05-03,TTF-HH,0.39362327449721524
2017-05-04,TTF-HH,0.3802492366496979
2017-05-05,TTF-HH,0.35050161086105036
2017-05-08,TTF-HH,0.3563596357223411
2017-05-09,TTF-HH,0.33673781735931785
2017-05-10,TTF-HH,0.32473024789709837
2017-05-11,TTF-HH,0.2902705441111533
2017-05-12,TTF-HH,0.2730456915795394
2017-05-15,TTF-HH,0.3042652182411889
2017-05-16,TTF-HH,0.33092837055400515
2017-05-17,TTF-HH,0.3577708344593695
2017-05-18,TTF-HH,0.3702839934779949
2017-05-19,TTF-HH,0.3330881386369726
2017-05-22,TTF-HH,0.3106152827849138
2017-05-23,TTF-HH,0.35306483171463277
2017-05-24,TTF-HH,0.3507051501540257
2017-05-25,TTF-HH,0.34749347572637457
2017-05-26,TTF-HH,0.32951715066278986
2017-05-30,TTF-HH,0.37741232546263115
2017-05-31,TTF-HH,0.37828922371461693
2017-06-01,TTF-HH,0.38599487237229946
2017-06-02,TTF-HH,0.3785414880523892
2017-06-05,TTF-HH,0.3896919104310699
2017-06-06,TTF-HH,0.357890509901442
2017-06-07,TTF-HH,0.3704210908677976
2017-06-08,TTF-HH,0.39172071085169136
2017-06-09,TTF-HH,0.36939397626401704
2017-06-12,TTF-HH,0.3603718058200587
2017-06-13,TTF-HH,0.3714007789837763
2017-06-14,TTF-HH,0.3844479692988283
2017-06-15,TTF-HH,0.3354432855926819
2017-06-16,TTF-HH,0.3428491513710681
2017-06-19,TTF-HH,0.4015412715676696
2017-06-20,TTF-HH,0.3998306425606062
2017-06-21,TTF-HH,0.4004983060986176
2017-06-22,TTF-HH,0.39224752437621
2017-06-23,TTF-HH,0.38069282920578873
2017-06-26,TTF-HH,0.3596108348136473
2017-06-27,TTF-HH,0.3705070563029711
2017-06-28,TTF-HH,0.3683766706308018
2017-06-29,TTF-HH,0.36658621686899595
2017-06-30,TTF-HH,0.3597345091040398
2017-07-03,TTF-HH,0.40670685348418045
2017-07-05,TTF-HH,0.4334729566586468
2017-07-06,TTF-HH,0.4203582691680934
2017-07-07,TTF-HH,0.4133482929159995
2017-07-10,TTF-HH,0.3788245428146175
2017-07-11,TTF-HH,0.3299339598425355
2017-07-12,TTF-HH,0.35096352239930106
2017-07-13,TTF-HH,0.36819228831522555
2017-07-14,TTF-HH,0.36413030501743027
2017-07-17,TTF-HH,0.3667564051356498
2017-07-18,TTF-HH,0.3357317700934892
2017-07-19,TTF-HH,0.3451937615647762
2017-07-20,TTF-HH,0.36443313791692744
2017-07-21,TTF-HH,0.38436871496482916
2017-07-24,TTF-HH,0.3977314745958729
2017-07-25,TTF-HH,0.3894866809676081
2017-07-26,TTF-HH,0.41950201506074936
2017-07-27,TTF-HH,0.4010769154124971
2017-07-28,TTF-HH,0.40080733200772234
2017-07-31,TTF-HH,0.45094338916092647
2017-08-01,TTF-HH,0.4224653416696238
2017-08-02,TTF-HH,0.42971511033162413
2017-08-03,TTF-HH,0.437102193051347
2017-08-04,TTF-HH,0.4604047146487351
2017-08-07,TTF-HH,0.47365635725915234
2017-08-08,TTF-HH,0.4547838580979371
2017-08-09,TTF-HH,0.4591488832890003
2017-08-10,TTF-HH,0.4374440981615231
2017-08-11,TTF-HH,0.45314253127966886
2017-08-14,TTF-HH,0.4526607994444387
2017-08-15,TTF-HH,0.44171106076687217
2017-08-16,TTF-HH,0.49012847886114264
2017-08-17,TTF-HH,0.4828517717235845
2017-08-18,TTF-HH,0.48909095499148547
2017-08-21,TTF-HH,0.4705942717976066
2017-08-22,TTF-HH,0.4767011236550118
2017-08-23,TTF-HH,0.49325411223633653
2017-08-24,TTF-HH,0.4852730280678459
2017-08-25,TTF-HH,0.5020737446070993
2017-08-29,TTF-HH,0.48869810755890164
2017-08-30,TTF-HH,0.4990519235207769
2017-08-31,TTF-HH,0.4611238600053549
2017-09-01,TTF-HH,0.44901952251856403
2017-09-05,TTF-HH,0.5075227324212133
2017-09-06,TTF-HH,0.49713229663398817
2017-09-07,TTF-HH,0.501659286080129
2017-09-08,TTF-HH,0.532052028379876
2017-09-11,TTF-HH,0.5354024793467325
2017-09-12,TTF-HH,0.5158778182522084
2017-09-13,TTF-HH,0.5051851549520221
2017-09-14,TTF-HH,0.5180955506310676
2017-09-15,TTF-HH,0.5108256237659907
2017-09-18,TTF-HH,0.4657032323977357
2017-09-19,TTF-HH,0.47475688857955634
2017-09-20,TTF-HH,0.4719409885859618
2017-09-21,TTF-HH,0.510621937035477
2017-09-22,TTF-HH,0.5000889074156274
2017-09-25,TTF-HH,0.5581955070688118
2017-09-26,TTF-HH,0.555986375937227
2017-09-27,TTF-HH,0.5448078715804057
2017-09-28,TTF-HH,0.5366736193165473
2017-09-29,TTF-HH,0.5271204725508734
2017-10-02,TTF-HH,0.572272952333889
2017-10-03,TTF-HH,0.5960045802383893
2017-10-04,TTF-HH,0.5822916250210517
2017-10-05,TTF-HH,0.5947189047207693
2017-10-06,TTF-HH,0.6139482197542301
2017-10-09,TTF-HH,0.6342638938393894
2017-10-10,TTF-HH,0.6070473090317374
2017-10-11,TTF-HH,0.6041513946979993
2017-10-12,TTF-HH,0.5610008627837195
2017-10-13,TTF-HH,0.5611384376395796
2017-10-16,TTF-HH,0.5898965292971832
2017-10-17,TTF-HH,0.5816534076650179
2017-10-18,TTF-HH,0.6311748570280171
2017-10-19,TTF-HH,0.6132929920687937
2017-10-20,TTF-HH,0.5803260851038126
2017-10-23,TTF-HH,0.5518963335927458
2017-10-24,TTF-HH,0.5490888666376814
2017-10-25,TTF-HH,0.5766480069363753
2017-10-26,TTF-HH,0.5792924053348123
2017-10-27,TTF-HH,0.629383552913299
2017-10-30,TTF-HH,0.5541098575806818
2017-10-31,TTF-HH,0.6113332228283377
2017-11-01,TTF-HH,0.6246603288679307
2017-11-02,TTF-HH,0.6109869571198081
2017-11-03,TTF-HH,0.581586368640818
2017-11-06,TTF-HH,0.5671540825673957
2017-11-07,TTF-HH,0.5806049879169441
2017-11-08,TTF-HH,0.5749309802351497
2017-11-09,TTF-HH,0.5757351698153059
2017-11-10,TTF-HH,0.5826901849956345
2017-11-13,TTF-HH,0.6073120211627108
2017-11-14,TTF-HH,0.5981915478254576
2017-11-15,TTF-HH,0.586703827763287
2017-11-16,TTF-HH,0.6107406155573238
2017-11-17,TTF-HH,0.57866833455598
2017-11-20,TTF-HH,0.6231457834284244
2017-11-21,TTF-HH,0.6513510624147776
2017-11-22,TTF-HH,0.6597450858803657
2017-11-24,TTF-HH,0.7560068135940679
2017-11-27,TTF-HH,0.7240844158476585
2017-11-28,TTF-HH,0.6572131877401854
2017-11-29,TTF-HH,0.6286715703091241
2017-11-30,TTF-HH,0.6766481811799101
2017-12-01,TTF-HH,0.691348765949503
2017-12-04,TTF-HH,0.7378610892350419
2017-12-05,TTF-HH,0.7644937201695514
2017-12-06,TTF-HH,0.7532482526976807
2017-12-07,TTF-HH,0.8185019127472226
2017-12-08,TTF-HH,0.7952556608313943
2017-12-11,TTF-HH,0.7768823337841004
2017-12-12,TTF-HH,0.8677843213188852
2017-12-13,TTF-HH,0.8014315942542858
2017-12-14,TTF-HH,0.8441526169701717
2017-12-15,TTF-HH,0.858771925202123
2017-12-18,TTF-HH,0.782145047045882
2017-12-19,TTF-HH,0.7841593352358858
2017-12-20,TTF-HH,0.8154285737061088
2017-12-21,TTF-HH,0.8144310523068515
2017-12-22,TTF-HH,0.7710243540163333
2017-12-27,TTF-HH,0.7185699866840387
2017-12-28,TTF-HH,0.6843578090261155
2017-12-29,TTF-HH,0.6667260176569598
2018-01-02,TTF-HH,0.6223061175515718
2018-01-03,TTF-HH,0.6319717920727934
2018-01-04,TTF-HH,0.6697861463032873
2018-01-05,TTF-HH,0.6854251344660351
2018-01-08,TTF-HH,0.6782215303432697
2018-01-09,TTF-HH,0.6676802347237536
2018-01-10,TTF-HH,0.6768415287520289
2018-01-11,TTF-HH,0.6082559457072416
2018-01-12,TTF-HH,0.5979776158688519
2018-01-16,TTF-HH,0.5763224583453732
2018-01-17,TTF-HH,0.5155175696496925
2018-01-18,TTF-HH,0.5198161319728678
2018-01-19,TTF-HH,0.5143359389107354
2018-01-22,TTF-HH,0.5218686429250041
2018-01-23,TTF-HH,0.43934084966886044
2018-01-24,TTF-HH,0.40003574772142225
2018-01-25,TTF-HH,0.4132674883923493
2018-01-26,TTF-HH,0.40060309366834423
2018-01-29,TTF-HH,0.3446224325922733
2018-01-30,TTF-HH,0.46470794167102514
2018-01-31,TTF-HH,0.5633768911812576
2018-02-01,TTF-HH,0.6274875830717752
2018-02-02,TTF-HH,0.6272491036469845
2018-02-05,TTF-HH,0.631395695458465
2018-02-06,TTF-HH,0.6401164321549215
2018-02-07,TTF-HH,0.6834780832879203
2018-02-08,TTF-HH,0.6651351976906676
2018-02-09,TTF-HH,0.7081272955243266
2018-02-12,TTF-HH,0.7236338171355575
2018-02-13,TTF-HH,0.7268816661091801
2018-02-14,TTF-HH,0.720974400149661
2018-02-15,TTF-HH,0.7025984998295284
2018-02-16,TTF-HH,0.7350631815970659
2018-02-20,TTF-HH,0.8011990254684603
2018-02-21,TTF-HH,0.7807695028889721
2018-02-22,TTF-HH,0.7962271935190463
2018-02-23,TTF-HH,0.83827770902782
2018-02-26,TTF-HH,0.7255824563130991
