Date,Pair,Correlation
2024-03-21,NBP-HH,0.1846971001699212
2024-03-22,NBP-HH,0.1801829440836003
2024-03-25,NBP-HH,0.17345178388992014
2024-03-26,NBP-HH,0.1688423647511193
2024-03-27,NBP-HH,0.16313348421861712
2024-03-28,NBP-HH,0.1639780992857267
2024-04-02,NBP-HH,0.16178155802326602
2024-04-03,NBP-HH,0.16700458731671697
2024-04-04,NBP-HH,0.16602543166620207
2024-04-05,NBP-HH,0.16617183314434333
2024-04-08,NBP-HH,0.16710505060109612
2024-04-09,NBP-HH,0.16019018797519582
2024-04-10,NBP-HH,0.16918329974452026
2024-04-11,NBP-HH,0.15958733190421145
2024-04-12,NBP-HH,0.1631831486295208
2024-04-15,NBP-HH,0.15817429903159627
2024-04-16,NBP-HH,0.1611736778300253
2024-04-17,NBP-HH,0.16132794197292324
2024-04-18,NBP-HH,0.16267869371619276
2024-04-19,NBP-HH,0.16503091235328574
2024-04-22,NBP-HH,0.16399457074217277
2024-04-23,NBP-HH,0.1612835435620447
2024-04-24,NBP-HH,0.15161686602920993
2024-04-25,NBP-HH,0.15124981056422995
2024-04-26,NBP-HH,0.15195455108668093
2024-04-29,NBP-HH,0.13085488960780808
2024-04-30,NBP-HH,0.13002099622871346
2024-05-01,NBP-HH,0.12642828905205275
2024-05-02,NBP-HH,0.13290065498613365
2024-05-03,NBP-HH,0.13223680943897437
2024-05-07,NBP-HH,0.1281784045134446
2024-05-08,NBP-HH,0.1280501597546524
2024-05-09,NBP-HH,0.12716108636051593
2024-05-10,NBP-HH,0.12729618682168228
2024-05-13,NBP-HH,0.12729603265086092
2024-05-14,NBP-HH,0.1261902828533112
2024-05-15,NBP-HH,0.1264738933854452
2024-05-16,NBP-HH,0.13081304477961997
2024-05-17,NBP-HH,0.1333789067267188
2024-05-20,NBP-HH,0.1352325932891038
2024-05-21,NBP-HH,0.13325620264510699
2024-05-22,NBP-HH,0.1491125941487868
2024-05-23,NBP-HH,0.14504444264360145
2024-05-24,NBP-HH,0.14499522676574092
2024-05-28,NBP-HH,0.14421697375724304
2024-05-29,NBP-HH,0.14559037378647344
2024-05-30,NBP-HH,0.14203143207282762
2024-05-31,NBP-HH,0.14036562008632184
2024-06-03,NBP-HH,0.14451731156600703
2024-06-04,NBP-HH,0.15592093004562646
2024-06-05,NBP-HH,0.14436044015545418
2024-06-06,NBP-HH,0.14470012569986002
2024-06-07,NBP-HH,0.13603785008955901
2024-06-10,NBP-HH,0.1384045022612566
2024-06-11,NBP-HH,0.13524787622109632
2024-06-12,NBP-HH,0.13302971613901093
2024-06-13,NBP-HH,0.15149161666023808
2024-06-14,NBP-HH,0.1525279417625939
2024-06-17,NBP-HH,0.14769029314953241
2024-06-18,NBP-HH,0.1484755026758241
2024-06-20,NBP-HH,0.13984705829602537
2024-06-21,NBP-HH,0.15387880928656927
2024-06-24,NBP-HH,0.16526548714643757
2024-06-25,NBP-HH,0.16829734069905875
2024-06-26,NBP-HH,0.17203840202080745
2024-06-27,NBP-HH,0.17881996165540223
2024-06-28,NBP-HH,0.17857391990902682
2024-07-01,NBP-HH,0.18298229018698509
2024-07-02,NBP-HH,0.18180252624704918
2024-07-03,NBP-HH,0.1810368511352334
2024-07-05,NBP-HH,0.17576184617027713
2024-07-08,NBP-HH,0.17069280304801687
2024-07-09,NBP-HH,0.17151976059264606
2024-07-10,NBP-HH,0.1702478574053736
2024-07-11,NBP-HH,0.1701493626659313
2024-07-12,NBP-HH,0.17903854377020773
2024-07-15,NBP-HH,0.1817054246263051
2024-07-16,NBP-HH,0.17856345349637184
2024-07-17,NBP-HH,0.18193529485229987
2024-07-18,NBP-HH,0.18343087063395846
2024-07-19,NBP-HH,0.1828987230506686
2024-07-22,NBP-HH,0.17612502869144303
2024-07-23,NBP-HH,0.1767933241064695
2024-07-24,NBP-HH,0.17201734342809086
2024-07-25,NBP-HH,0.1735689140558331
2024-07-26,NBP-HH,0.17483703325989178
2024-07-29,NBP-HH,0.16862168261122742
2024-07-30,NBP-HH,0.1653185337721108
2024-07-31,NBP-HH,0.15251340319489806
2024-08-01,NBP-HH,0.16200412025611755
2024-08-02,NBP-HH,0.16348926207470893
2024-08-05,NBP-HH,0.16210552620702426
2024-08-06,NBP-HH,0.16747194251773997
2024-08-07,NBP-HH,0.16781296181057556
2024-08-08,NBP-HH,0.16890267541031354
2024-08-09,NBP-HH,0.16467827541151983
2024-08-12,NBP-HH,0.16317041506938132
2024-08-13,NBP-HH,0.14102472956759704
2024-08-14,NBP-HH,0.13095853396245621
2024-08-15,NBP-HH,0.13128445125758229
2024-08-16,NBP-HH,0.13166203504052126
2024-08-19,NBP-HH,0.14752317077944113
2024-08-20,NBP-HH,0.147370914755084
2024-08-21,NBP-HH,0.14839150540364288
2024-08-22,NBP-HH,0.1483139962682371
2024-08-23,NBP-HH,0.14200971644774807
2024-08-27,NBP-HH,0.1368375135303085
2024-08-28,NBP-HH,0.13241447762254627
2024-08-29,NBP-HH,0.13421841656095923
2024-08-30,NBP-HH,0.1329840673871819
2024-09-03,NBP-HH,0.12614259766662886
2024-09-04,NBP-HH,0.12455493520231814
2024-09-05,NBP-HH,0.1250957027652227
2024-09-06,NBP-HH,0.1252007492489458
2024-09-09,NBP-HH,0.11786368559574009
2024-09-10,NBP-HH,0.10870332214873855
2024-09-11,NBP-HH,0.10702442171295885
2024-09-12,NBP-HH,0.10353910272659028
2024-09-13,NBP-HH,0.10294124914146531
2024-09-16,NBP-HH,0.10369048438692255
2024-09-17,NBP-HH,0.1048725102518222
2024-09-18,NBP-HH,0.10623607464380352
2024-09-19,NBP-HH,0.10391950260094306
2024-09-20,NBP-HH,0.11105178587346722
2024-09-23,NBP-HH,0.11315441783764917
2024-09-24,NBP-HH,0.11550318169231796
2024-09-25,NBP-HH,0.1241694090479388
2024-09-26,NBP-HH,0.12299198353723857
2024-09-27,NBP-HH,0.12248242925092795
2024-09-30,NBP-HH,0.12568634393198128
2024-10-01,NBP-HH,0.12865058652639724
2024-10-02,NBP-HH,0.12729958247001827
2024-10-03,NBP-HH,0.1301051899329164
2024-10-04,NBP-HH,0.12364352500042558
2024-10-07,NBP-HH,0.13143552997481628
2024-10-08,NBP-HH,0.13143082860158364
2024-10-09,NBP-HH,0.14270984691149496
2024-10-10,NBP-HH,0.13747681916805546
2024-10-11,NBP-HH,0.13740197662526885
2024-10-14,NBP-HH,0.137646632584587
2024-10-15,NBP-HH,0.1381902981509319
2024-10-16,NBP-HH,0.14582871215636384
2024-10-17,NBP-HH,0.14720002124019133
2024-10-18,NBP-HH,0.13943390224161603
2024-10-21,NBP-HH,0.14045219164252776
2024-10-22,NBP-HH,0.1410265061005255
2024-10-23,NBP-HH,0.14030149086775054
2024-10-24,NBP-HH,0.14603933797412436
2024-10-25,NBP-HH,0.1467972131066964
2024-10-28,NBP-HH,0.15430968499380407
2024-10-29,NBP-HH,0.15415951314732612
2024-10-30,NBP-HH,0.12471214633847189
2024-10-31,NBP-HH,0.12403578088349781
2024-11-01,NBP-HH,0.1227625319875937
2024-11-04,NBP-HH,0.131355652041493
2024-11-05,NBP-HH,0.12968060014217495
2024-11-06,NBP-HH,0.12846826766152575
2024-11-07,NBP-HH,0.12682083702895516
2024-11-08,NBP-HH,0.11457068514598984
2024-11-11,NBP-HH,0.12108594860510552
