Dependent,Independent,Lag,ACF,Significant
TTF,NBP,16,0.018798414932826916,FALSE
TTF,NBP,17,-0.057313248838994905,TRUE
TTF,NBP,18,0.022994210227774408,FALSE
TTF,NBP,19,-0.018247268623785787,FALSE
TTF,NBP,20,-0.01976434092843736,FALSE
TTF,NBP,21,0.0013677919727641626,FALSE
TTF,NBP,22,-0.03785461128196171,FALSE
TTF,NBP,23,-0.05667076000084627,TRUE
TTF,NBP,24,0.010631741958337547,FALSE
TTF,NBP,25,-5.931170006357748e-4,FALSE
TTF,NBP,26,-0.023822796584963415,FALSE
TTF,NBP,27,0.004447108559689781,FALSE
TTF,NBP,28,0.015073926073135804,FALSE
TTF,NBP,29,0.03210299339944548,FALSE
TTF,NBP,30,0.015994612449836753,FALSE
TTF,NBP,31,-0.03903622140835118,FALSE
TTF,NBP,32,0.01089497408788666,FALSE
TTF,NBP,33,7.378708579666541e-4,FALSE
TTF,NBP,34,0.023163851051153206,FALSE
