Dependent,Independent,Date,Residual_Std
HH,TTF,2022-05-19,-0.007435968928096855
HH,TTF,2022-05-20,-0.38155314388473066
HH,TTF,2022-05-23,1.5144558533453716
HH,TTF,2022-05-24,-0.0080406584076166791
HH,TTF,2022-05-25,0.2575707434408013
HH,TTF,2022-05-26,-0.08246515037776284
HH,TTF,2022-05-27,-0.38550088023400236
HH,TTF,2022-05-31,-1.4336227867167417
HH,TTF,2022-06-01,1.348053622189281
HH,TTF,2022-06-06,1.2064049600694144
HH,TTF,2022-06-07,0.05312442878978815
HH,TTF,2022-06-08,-1.0929907454011338
HH,TTF,2022-06-09,0.39989447120220956
HH,TTF,2022-06-10,-0.23804136739337792
HH,TTF,2022-06-13,-0.49466233631552176
HH,TTF,2022-06-14,-3.337095981406504
HH,TTF,2022-06-15,0.3995242901754892
HH,TTF,2022-06-16,-0.11730335342388903
HH,TTF,2022-06-17,-1.1361889325308325
HH,TTF,2022-06-21,-0.32607160908603466
HH,TTF,2022-06-22,0.07397871830347319
HH,TTF,2022-06-23,-1.5553603990053748
HH,TTF,2022-06-24,0.03451278655971531
HH,TTF,2022-06-27,0.6474562181344156
HH,TTF,2022-06-28,0.09190664260274525
HH,TTF,2022-06-29,-0.14012148326743978
HH,TTF,2022-06-30,-2.8536698767479893
HH,TTF,2022-07-01,0.9704701525398467
HH,TTF,2022-07-05,-0.7280177550379088
HH,TTF,2022-07-06,0.02903180919436515
HH,TTF,2022-07-07,2.0022266454717195
HH,TTF,2022-07-08,-0.7380451005222558
HH,TTF,2022-07-11,1.07590678161511
HH,TTF,2022-07-12,-0.7152148982421578
HH,TTF,2022-07-13,1.28852137864476
HH,TTF,2022-07-14,-0.26931911048133766
HH,TTF,2022-07-15,1.0283300852149704
HH,TTF,2022-07-18,0.9500000300140232
HH,TTF,2022-07-19,-0.4508610026501822
HH,TTF,2022-07-20,1.559284770232262
HH,TTF,2022-07-21,-0.22597756650653172
HH,TTF,2022-07-22,0.7406044687107329
HH,TTF,2022-07-25,0.6317964231237607
HH,TTF,2022-07-26,0.3002013410103614
HH,TTF,2022-07-27,-0.5412164310766964
HH,TTF,2022-07-28,-0.9110525643220507
HH,TTF,2022-07-29,0.22880902223666355
HH,TTF,2022-08-01,0.003367419107395381
HH,TTF,2022-08-02,-1.0841950875414745
HH,TTF,2022-08-03,1.1199135394240538
HH,TTF,2022-08-04,-0.32743499439007095
HH,TTF,2022-08-05,-0.03771951006864603
HH,TTF,2022-08-08,-0.8985569445364717
HH,TTF,2022-08-09,0.510888598278655
HH,TTF,2022-08-10,0.5780932791948599
HH,TTF,2022-08-11,1.1432643003592062
HH,TTF,2022-08-12,-0.17434630363144007
HH,TTF,2022-08-15,-0.07023245734837347
HH,TTF,2022-08-16,0.9501566164012175
